id_pokemon,nome_pokemon,nome_tipo,hp,attack,defense,speed,score,url_imagem
1,bulbasaur,grass,45,49,49,45,52.6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
1,bulbasaur,poison,45,49,49,45,52.6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,ivysaur,grass,60,62,63,60,66.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
2,ivysaur,poison,60,62,63,60,66.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,venusaur,grass,80,82,83,80,86.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
3,venusaur,poison,80,82,83,80,86.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,charmander,fire,39,52,43,65,53.8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,charmeleon,fire,58,64,58,80,69.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,charizard,fire,78,84,78,100,91.1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
6,charizard,flying,78,84,78,100,91.1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,squirtle,water,44,48,65,43,50.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,wartortle,water,59,63,80,58,65.4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,blastoise,water,79,83,100,78,85.9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,caterpie,bug,45,30,35,45,32.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,metapod,bug,50,20,55,30,30.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,butterfree,bug,60,45,50,70,64.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
12,butterfree,flying,60,45,50,70,64.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,weedle,bug,40,35,30,50,33.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
13,weedle,poison,40,35,30,50,33.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,kakuna,bug,45,25,50,35,31.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
14,kakuna,poison,45,25,50,35,31.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,beedrill,bug,65,90,40,75,69.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
15,beedrill,poison,65,90,40,75,69.5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,pidgey,normal,40,45,40,56,43.2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
16,pidgey,flying,40,45,40,56,43.2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,pidgeotto,normal,63,60,55,71,59.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
17,pidgeotto,flying,63,60,55,71,59.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,pidgeot,normal,83,80,75,101,81.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
18,pidgeot,flying,83,80,75,101,81.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,rattata,normal,30,56,35,72,46.2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,raticate,normal,55,81,60,97,72.2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,spearow,normal,40,60,30,70,48.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
21,spearow,flying,40,60,30,70,48.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,fearow,normal,65,90,65,100,78.3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
